Industry	NAICS	IR
"Agriculture, forestry, fishing and hunting(5)"	11	5.2
Crop production(5)	111	5.3
Oilseed and grain farming(5)	1111	5.7
Vegetable and melon farming(5)	1112	4.9
Fruit and tree nut farming(5)	1113	5.9
"Greenhouse, nursery, and floriculture production(5)"	1114	5.1
Other crop farming(5)	1119	4.2
Animal production and aquaculture(5)	112	5.6
Cattle ranching and farming(5)	1121	5.2
"Beef cattle ranching and farming, including feedlots(5)"	11211	5.3
Dairy cattle and milk production(5)	11212	5.2
Hog and pig farming(5)	1122	7.5
Poultry and egg production(5)	1123	5.2
Other animal production(5)	1129	5.7
Forestry and logging	113	2.8
Logging	1133	2.7
"Fishing, hunting and trapping"	114	4.6
Fishing	1141	6
Support activities for agriculture and forestry	115	5.2
Support activities for crop production	1151	5.4
Support activities for crop production	11511	5.4
Cotton ginning	115111	4.5
"Soil preparation, planting, and cultivating"	115112	4.2
"Crop harvesting, primarily by machine"	115113	6.4
Farm labor contractors and crew leaders	115115	4.6
Farm management services	115116	6.2
Support activities for animal production	1152	3.5
Support activities for forestry	1153	3.7
"Mining, quarrying, and oil and gas extraction(6)"	21	1.2
Oil and gas extraction	211	0.6
Oil and gas extraction	2111	0.6
Mining (except oil and gas)(9)	212	2.3
Coal mining(9)	2121	3.3
Coal mining(9)	21211	3.3
Bituminous coal and lignite surface mining(9)	212111	1.3
Bituminous coal underground mining(9)	212112	4.8
Anthracite mining(9)	212113	4.6
Metal ore mining(9)	2122	1.9
Iron ore mining(9)	21221	1.6
Gold ore and silver ore mining(9)	21222	1.3
Gold ore mining(9)	212221	1.2
Silver ore mining(9)	212222	2.9
"Copper, nickel, lead, and zinc mining(9)"	21223	2.5
Other metal ore mining(9)	21229	2.7
All other metal ore mining(9)	212299	2.8
Nonmetallic mineral mining and quarrying(9)	2123	1.8
Stone mining and quarrying(9)	21231	1.9
Dimension stone mining and quarrying(9)	212311	2.4
Crushed and broken limestone mining and quarrying(9)	212312	1.8
Crushed and broken granite mining and quarrying(9)	212313	1.7
Other crushed and broken stone mining and quarrying(9)	212319	2.1
"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying(9)"	21232	1.7
Construction sand and gravel mining(9)	212321	1.7
Kaolin and ball clay mining(9)	212324	1.2
Clay and ceramic and refractory minerals mining(9)	212325	3.2
Other nonmetallic mineral mining and quarrying(9)	21239	1.8
"Potash, soda, and borate mineral mining(9)"	212391	1
Phosphate rock mining(9)	212392	1.4
Other chemical and fertilizer mineral mining(9)	212393	3
All other nonmetallic mineral mining(9)	212399	1.8
Support activities for mining	213	0.9
Support activities for mining	2131	0.9
Support activities for mining	21311	0.9
Drilling oil and gas wells	213111	1.3
Support activities for oil and gas operations	213112	0.8
Construction	23	2.8
Construction of buildings	236	2.5
Residential building construction	2361	3
Nonresidential building construction	2362	1.9
Heavy and civil engineering construction	237	2.4
Utility system construction	2371	2.1
Water and sewer line and related structures construction	23711	3.5
Oil and gas pipeline and related structures construction	23712	0.5
Power and communication line and related structures construction	23713	2.5
Land subdivision	2372	1.7
"Highway, street, and bridge construction"	2373	3.4
Other heavy and civil engineering construction	2379	1.8
Specialty trade contractors	238	3.1
"Foundation, structure, and building exterior contractors"	2381	4.3
Poured concrete foundation and structure contractors	23811	3.8
Structural steel and precast concrete contractors	23812	3.2
Framing contractors	23813	7
Masonry contractors	23814	3.6
Glass and glazing contractors	23815	3.9
